S하중,S저항,T저항,M하중,M_stroke,C하중,C_stroke,C저항,저항합,Gap,초기위치,이동속도,접촉예측,Trip시간
123,0.084,0.756,218,1.95,323,1.7,1.0613,0.84,1.598,8.186,0.0473,34.17,95
103,0.083,0.785,216,1.96,298,1.73,1.0578,0.868,1.396,8.145,0.0299,31.62,95
104,0.092,0.735,218,1.85,298,1.59,1.1678,0.827,1.552,8.157,0.0369,34.39,106
107,0.087,0.765,225,1.83,312,1.65,1.0107,0.852,1.437,8.435,0.0449,30.69,84
93,0.085,0.737,221,2.08,299,1.83,1.0552,0.822,1.408,8.247,0.0476,29.67,91
109,0.112,0.735,206,1.79,298,1.58,1.1469,0.847,1.763,8.234,0.0477,37.98,103
87,0.097,0.781,228,2.15,331,1.92,1.0054,0.878,1.133,8.084,0.0487,23.09,99
99,0.102,0.735,208,1.92,272,1.7,1.0382,0.837,1.67,8.284,0.05,35.39,102
106,0.088,0.778,221,2.32,287,2.05,1.0927,0.866,1.442,8.298,0.0422,31.15,101
86,0.113,0.736,222,1.96,313,1.77,1.0525,0.849,1.779,8.174,0.0458,38.6,119
100,0.087,0.737,235,1.87,323,1.61,0.9963,0.824,1.793,8.248,0.05,38.4,110
76,0.102,0.743,225,1.9,315,1.66,1.0888,0.845,1.801,8.256,0.0512,38.43,101
94,0.108,0.742,219,1.83,291,1.63,1.0424,0.85,1.836,7.971,0.0466,39.83,106
105,0.089,0.758,216,2.27,298,1.94,1.3324,0.847,1.193,8.212,0.0469,24.72,96
104,0.084,0.735,240,2.18,324,1.92,1.0152,0.819,1.228,8.24,0.0338,27.19,97
80,0.066,0.761,206,1.89,284,1.74,1.1204,0.827,1.528,8.164,0.0494,32.26,100
110,0.082,0.737,201,1.99,280,1.71,1.0341,0.819,1.502,8.083,0.0465,32.02,95
96,0.089,0.747,227,1.84,300,1.68,1.167,0.836,1.501,8.08,0.0497,31.59,96
77,0.092,0.739,218,1.9,329,1.67,1.108,0.831,1.685,8.112,0.0474,36.19,99
93,0.098,0.743,223,1.88,294,1.68,1.0331,0.841,1.678,8.123,0.0457,36.24,96
74,0.09,0.733,220,1.9,295,1.68,1.0388,0.823,1.617,8.219,0.046,34.77,97
97,0.088,0.734,216,2.04,314,1.71,1.1559,0.822,1.414,8.046,0.0475,29.83,99
86,0.097,0.726,204,1.9,292,1.74,0.9984,0.823,1.52,8.012,0.0516,31.8,91
106,0.09,0.794,213,1.8,292,1.62,0.9804,0.884,1.657,8.019,0.0492,35.31,95
91,0.11,0.781,192,1.72,276,1.54,1.0994,0.891,1.693,8.132,0.0499,36.07,89
74,0.093,0.748,213,1.85,271,1.6,1.0982,0.841,1.63,8.296,0.05,34.54,90
90,0.1,0.741,224,1.76,306,1.5,1.0411,0.841,1.7,8.197,0.05,36.79,89
75,0.095,0.749,213,1.92,293,1.61,1.1108,0.844,1.623,8.101,0.0493,34.5,98
104,0.104,0.771,232,1.87,339,1.68,1.0549,0.875,1.666,7.905,0.0462,35.9,94
95,0.096,0.756,210,1.9,262,1.63,1.0082,0.852,1.676,8.075,0.0569,34.79,110
94,0.135,0.73,243,2,332,1.74,1.1275,0.865,1.723,8.109,0.0534,36.33,97
80,0.115,0.72,219,1.97,298,1.7,1.0653,0.835,1.548,8.063,0.0485,32.84,92
101,0.13,0.74,233,2.17,332,1.79,1.0479,0.87,1.633,8.489,0.0485,34.84,98
84,0.127,0.73,236,1.85,361,1.55,1.0494,0.857,1.535,8.01,0.0473,32.69,86
97,0.112,0.73,205,1.91,327,1.59,1.1611,0.842,1.393,8.274,0.0493,29.11,80
80,0.107,0.74,266,1.91,297,1.63,1.0493,0.847,1.552,8.46,0.0483,32.96,91
84,0.142,0.72,223,1.92,323,1.72,1.1071,0.862,1.556,8.398,0.0521,32.58,90
93,0.111,0.72,212,2.03,310,1.74,1.0984,0.831,1.528,8.126,0.0435,33,91
78,0.114,0.72,233,1.88,322,1.71,1.1716,0.834,1.512,8.342,0.0461,32.3,89
79,0.128,0.73,232,1.99,350,1.73,1.1104,0.858,1.638,8.258,0.0359,36.54,100
89,0.153,0.72,217,1.81,294,1.64,1.1671,0.873,1.755,8.356,0.0434,38.34,97
80,0.115,0.74,241,1.94,305,1.77,1.0896,0.855,1.526,8.082,0.0412,33.24,92
85,0.128,0.74,222,1.83,308,1.62,1.0926,0.868,1.505,8.302,0.0509,31.53,80
89,0.164,0.74,231,1.9,337,1.66,1.1334,0.904,1.515,8.248,0.047,32.26,85
83,0.123,0.71,237,1.9,338,1.73,1.0876,0.833,1.567,8.242,0.0489,33.24,89
89,0.149,0.73,256,2.05,341,1.76,1.2706,0.879,1.527,8.242,0.0447,32.83,98
77,0.112,0.72,223,1.81,299,1.65,1.0892,0.832,1.519,8.343,0.0457,32.52,92
86,0.162,0.71,219,1.9,296,1.69,1.1625,0.872,1.444,8.23,0.043,31.1,90
93,0.131,0.76,241,2.05,352,1.66,1.0163,0.891,1.357,8.175,0.0457,28.72,85
80,0.118,0.72,219,1.85,313,1.63,1.0873,0.838,1.493,8.306,0.0415,32.43,90
72,0.151,0.74,225,1.88,330,1.66,1.0882,0.891,1.749,8.258,0.042,38.37,96
93,0.113,0.73,221,1.93,354,1.67,1.1301,0.843,1.578,8.259,0.044,34.11,94
95,0.138,0.73,218,2.09,286,1.77,1.0407,0.868,1.502,8.21,0.0455,32.14,105
95,0.128,0.73,236,1.94,310,1.7,1.1487,0.858,1.628,8.214,0.0472,34.88,95
94,0.127,0.71,211,1.99,330,1.8,1.1481,0.837,1.635,8.435,0.0454,35.27,98
84,0.167,0.72,201,1.81,288,1.54,1.1128,0.887,1.592,8.178,0.0404,34.89,87
92,0.152,0.72,211,1.92,309,1.7,1.1117,0.872,1.644,8.104,0.0415,35.97,90
88,0.115,0.72,227,1.87,309,1.61,1.0431,0.835,1.733,8.338,0.0418,38.02,92
73,0.098,0.73,246,2.07,349,1.73,1.1392,0.828,1.645,8.295,0.0451,35.54,100
87,0.104,0.73,219,1.99,303,1.71,1.0461,0.834,1.513,8.3,0.0478,32.11,92
88,0.101,0.82,220,1.83,316,1.65,0.983,0.921,2.263,8.23,0.0485,49.6,120
88,0.142,0.831,242,1.88,350,1.68,1.0169,0.973,2.277,8.068,0.0496,49.79,135
71,0.134,0.841,253,1.89,369,1.68,1.0177,0.975,1.89,8.182,0.0398,41.95,106
88,0.113,0.802,242,1.84,331,1.66,1.0209,0.915,2.235,7.74,0.047,49.13,130
80,0.098,0.821,239,1.96,342,1.7,1.0065,0.919,2.039,8.071,0.0472,44.52,120
97,0.132,0.828,254,1.86,335,1.66,0.9981,0.96,1.42,7.936,0.0375,31.22,80
81,0.132,0.831,255,1.99,349,1.79,1.0826,0.963,1.884,8.148,0.0496,40.58,106
86,0.119,0.821,248,1.84,352,1.61,1.1874,0.94,2.25,7.988,0.0505,49.05,125
99,0.121,0.834,236,1.89,340,1.69,1.0296,0.955,2.078,8.236,0.0462,45.56,120
79,0.13,0.801,216,2,286,1.77,1.0754,0.931,2.024,8.161,0.0459,44.33,108
108,0.131,0.843,205,2.03,301,1.71,1.0428,0.974,1.878,8.208,0.0445,41.08,103
86,0.119,0.851,212,1.98,305,1.7,0.9699,0.97,2.132,8.005,0.0451,46.96,117
79,0.121,0.805,205,1.96,290,1.61,1.1473,0.926,2.131,8.114,0.0465,46.76,115
83,0.131,0.816,205,2.07,299,1.68,1.0548,0.947,1.858,7.913,0.0261,42.92,109
105,0.1,0.801,229,1.97,339,1.65,1.0992,0.901,2.228,8.118,0.052,48.34,123
73,0.137,0.83,224,2.09,328,1.7,1.078,0.967,2.186,8.175,0.0482,47.84,118
79,0.104,0.824,207,1.91,292,1.61,1.0193,0.928,2.24,8.186,0.0441,49.62,121
90,0.111,0.842,211,1.95,314,1.64,1.0426,0.953,2.154,8.186,0.048,47.11,116
86,0.101,0.848,213,2.02,301,1.72,1.0734,0.949,2.042,8.119,0.0471,44.6,114
81,0.11,0.81,217,2.02,311,1.72,1.0839,0.92,2.137,8.084,0.0464,46.91,113
88,0.139,0.81,212,2.04,302,1.66,0.9756,0.949,2.475,8.232,0.05,54.38,134
107,0.113,0.829,229,2,331,1.74,1.0097,0.942,2.197,8.112,0.0471,48.23,116
67,0.12,0.84,246,1.89,362,1.58,1.0484,0.96,2.466,8.086,0.0497,54.21,134
84,0.102,0.825,207,1.94,292,1.7,1.0207,0.927,1.923,8.268,0.048,41.7,108
88,0.127,0.847,209,2,293,1.74,1.1198,0.974,2.061,8.356,0.0465,45.12,117
95,0.108,0.842,196,1.98,278,1.66,0.9634,0.95,2.221,8.193,0.0467,48.84,117
